customer_id	address_type	address_line_1	city	state	postcode
6973	shipping	5780 Ashley Row	Larachester	Alaska	96580
6973	billing	757 Amy Motorway	Stephaniemouth	Massachusetts	55102
3532	shipping	18892 Benson Lake	Mitchellland	Minnesota	80110
3532	billing	87297 Davis Bypass Apt. 742	Mannshire	Colorado	19139
1211	shipping	580 Samantha Lodge	New Christinaborough	Louisiana	04251
1211	billing	7938 Cervantes Mountain Suite 159	Oconnorhaven	Indiana	44129
7829	shipping	3242 Kelly Forks Suite 810	Lake Sierraside	Nebraska	10629
7829	billing	0722 Gregory Turnpike	East Jacksonport	Indiana	05138
6384	shipping	750 Lisa Valleys	Heatherton	Michigan	22885
6384	billing	3915 Reyes Islands Apt. 261	New Emily	Massachusetts	95275
2639	shipping	5383 Albert Grove Apt. 804	North Destinyland	Illinois	60150
2639	billing	222 Dominique Springs Apt. 942	Colechester	Louisiana	96258
3084	shipping	3337 Gregory Island	Mitchellbury	Tennessee	70603
3084	billing	78828 Montgomery Branch Suite 316	South Chelsea	Wisconsin	61054
7997	shipping	8166 Anthony Lodge Suite 528	Richardmouth	Mississippi	48790
7997	billing	425 Keith Motorway	West Lawrencemouth	Nebraska	76674
9687	shipping	3044 Scott Row	North Noah	Oregon	73984
9687	billing	146 Smith Coves Apt. 738	North Lisaton	West Virginia	46429
2141	shipping	098 Sellers Station	South Javierstad	Texas	59689
2141	billing	7451 Lisa Stravenue Suite 994	South Victor	Kansas	49835
5592	shipping	754 Ricky Corners Apt. 629	Jonland	South Carolina	02070
5592	billing	9688 Elizabeth Plains	South Theodoreburgh	Massachusetts	97146
6406	shipping	613 Hart Rapid Apt. 447	Shannonmouth	Wyoming	83119
6406	billing	5706 Adam Forges Suite 567	Josephburgh	South Dakota	07359
