customer_id	address_type	address_line_1	city	state	postcode
9179	shipping	9713 Medina Mountains Apt. 813	Lake Erika	Mississippi	91945
9179	billing	084 Anne Hollow Apt. 064	East Jasontown	Minnesota	77329
5816	shipping	8400 Rebecca Lodge Suite 011	Lake Lisatown	Montana	11354
5816	billing	869 Linda Locks Apt. 105	West Melissabury	Michigan	37662
4858	shipping	4838 Jacob Neck	Jamesview	Wisconsin	58657
4858	billing	4558 Cabrera Islands	Lake David	Rhode Island	06133
7207	shipping	75470 Richardson Mission Apt. 147	New Rachelhaven	Hawaii	38857
7207	billing	4450 Michelle Mission Suite 663	North Justin	Kentucky	91757
8539	shipping	331 Monica Route Apt. 022	Michellechester	Texas	14637
8539	billing	48794 Aguirre Ferry Apt. 952	North Amy	Washington	92507
9706	shipping	2856 Jeremy Wall Apt. 985	East Elizabeth	Oklahoma	66460
9706	billing	14540 Moody Tunnel	West Shellybury	Kentucky	83151
9263	shipping	5733 Richards Ferry Suite 995	East Angelafort	Indiana	79556
9263	billing	13677 Garcia Ports	Shelleyland	Rhode Island	03719
5028	shipping	955 Montgomery Mountain Suite 167	Jameschester	Kentucky	09013
5028	billing	5094 Ayala Falls	Greenmouth	North Carolina	02638
9018	shipping	2099 Francisco Spring	Beanshire	South Carolina	87684
9018	billing	207 Tracy Gateway	Cookberg	Delaware	14011
8580	shipping	17549 Lisa Mission Suite 987	Vasquezstad	Virginia	40641
8580	billing	6150 Jessica Park	Bellmouth	Pennsylvania	82370
3409	shipping	918 April Junctions	New Theresa	Indiana	46004
3409	billing	1294 Edward Inlet	North Alison	Indiana	82752
3889	shipping	90408 Connie Pines Suite 258	Catherinehaven	Texas	33736
3889	billing	7908 Walker Track	North Jose	Virginia	84099
9084	shipping	411 Joseph Park	Ericside	South Dakota	45339
9084	billing	649 Jessica Parks	North Tommyland	Illinois	88048
2344	shipping	97619 Sanchez Prairie Suite 359	Kelleyfurt	Louisiana	64906
2344	billing	5008 Corey Landing Apt. 475	South Christinaburgh	New Mexico	03650
5011	shipping	828 Michele Spring	Duffyshire	Tennessee	93025
5011	billing	8066 Smith Ports	Port Cheryl	Florida	97952
9247	shipping	196 Thomas Shore Apt. 768	Bobbymouth	Louisiana	91533
9247	billing	0034 Fleming Hollow Suite 295	Wadefurt	Montana	34460
6627	shipping	76810 Mcintosh Forge Suite 885	Gregoryport	South Dakota	41885
6627	billing	35855 Haas Centers Apt. 931	West Andreaville	Virginia	82397
